CIK,Company,Ticker,Form,FilingDate,EventDate,DateOfReport,AccessionNo,FilingURL,FilingUrlTxt,PeriodOfReport,AcceptanceDateTime,HomepageURL,ItemsPresent,ItemsNormalized,HasPressRelease,HasExhibits,PrimaryEx99Docs,PrimaryEx10Docs,HasXBRL,EventType,EventTier,PrimarySourceURL,SecondarySourceURL,IsCatalyst,CatalystType,Tier1Type,Tier1Trigger,IsDilution,DilutionTags,IgnoreReason
0002031561,Aldel Financial II Inc.,ALDF,8-K,2024-10-29,2024-10-23,2024-10-23,0001104659-24-112204,https://www.sec.gov/Archives/edgar/data/2031561/000110465924112204/tm2426986d1_8k.htm,https://www.sec.gov/Archives/edgar/data/2031561/000110465924112204/tm2426986d1_8k.htm,2024-10-23,2024-10-29 15:43:20,https://www.sec.gov/Archives/edgar/data/2031561/0001104659-24-112204-index.html,Item 1.01; Item 9.01,Item 1.01; Item 9.01,True,True,tm2426986d1_ex99-1.htm,,False,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/2031561/000110465924112204/tm2426986d1_8k.htm,,True,Tier-1,Financing,,True,warrant;offering,
0001426800,"ASSEMBLY BIOSCIENCES, INC.",ASMB,8-K,2025-08-11,2025-08-08,2025-08-08,0001193125-25-178092,https://www.sec.gov/Archives/edgar/data/1426800/000119312525178092/d442009d8k.htm,https://www.sec.gov/Archives/edgar/data/1426800/000119312525178092/d442009d8k.htm,2025-08-08,2025-08-11 17:25:05,https://www.sec.gov/Archives/edgar/data/1426800/0001193125-25-178092-index.html,Item 1.01; Item 3.02; Item 8.01; Item 9.01,Item 1.01; Item 3.02; Item 8.01; Item 9.01,True,True,d442009dex991.htm,d442009dex11.htm; d442009dex101.htm,True,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1426800/000119312525178092/d442009d8k.htm,,True,Tier-1,Financing,,True,spa;purchase_agreement;underwriting_agreement;warrant;offering,
0001426800,"ASSEMBLY BIOSCIENCES, INC.",ASMB,8-K,2025-08-08,2025-08-08,2025-08-08,0001193125-25-176138,https://www.sec.gov/Archives/edgar/data/1426800/000119312525176138/d802767d8k.htm,https://www.sec.gov/Archives/edgar/data/1426800/000119312525176138/d802767d8k.htm,2025-08-08,2025-08-08 08:24:47,https://www.sec.gov/Archives/edgar/data/1426800/0001193125-25-176138-index.html,Item 7.01; Item 8.01; Item 9.01,Item 7.01; Item 8.01; Item 9.01,True,True,d802767dex991.htm,,True,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1426800/000119312525176138/d802767d8k.htm,,True,Tier-1,Financing,,True,warrant,
0001426800,"ASSEMBLY BIOSCIENCES, INC.",ASMB,8-K,2025-11-10,2025-11-10,2025-11-10,0001193125-25-274235,https://www.sec.gov/Archives/edgar/data/1426800/000119312525274235/asmb-20251110.htm,https://www.sec.gov/Archives/edgar/data/1426800/000119312525274235/asmb-20251110.htm,2025-11-10,2025-11-10 16:10:29,https://www.sec.gov/Archives/edgar/data/1426800/0001193125-25-274235-index.html,Item 2.02; Item 9.01,Item 2.02; Item 9.01,True,True,asmb-ex99_1.htm,,True,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1426800/000119312525274235/asmb-20251110.htm,,True,Tier-1,Financing,,True,warrant,
0001426800,"ASSEMBLY BIOSCIENCES, INC.",ASMB,8-K,2025-06-25,2025-06-25,2025-06-25,0000950170-25-089949,https://www.sec.gov/Archives/edgar/data/1426800/000095017025089949/asmb-20250625.htm,https://www.sec.gov/Archives/edgar/data/1426800/000095017025089949/asmb-20250625.htm,2025-06-25,2025-06-25 16:05:30,https://www.sec.gov/Archives/edgar/data/1426800/0000950170-25-089949-index.html,Item 8.01; Item 9.01,Item 8.01; Item 9.01,True,True,asmb-ex99_1.htm,,True,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1426800/000095017025089949/asmb-20250625.htm,,True,Tier-1,Financing,,True,warrant;offering,
0001426800,"ASSEMBLY BIOSCIENCES, INC.",ASMB,8-K,2025-08-06,2025-08-06,2025-08-06,0000950170-25-104020,https://www.sec.gov/Archives/edgar/data/1426800/000095017025104020/asmb-20250806.htm,https://www.sec.gov/Archives/edgar/data/1426800/000095017025104020/asmb-20250806.htm,2025-08-06,2025-08-06 16:10:35,https://www.sec.gov/Archives/edgar/data/1426800/0000950170-25-104020-index.html,Item 2.02; Item 8.01; Item 9.01,Item 2.02; Item 8.01; Item 9.01,True,True,asmb-ex99_1.htm; asmb-ex99_2.htm,,True,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1426800/000095017025104020/asmb-20250806.htm,,True,Tier-1,Financing,,True,warrant,
0001426800,"ASSEMBLY BIOSCIENCES, INC.",ASMB,8-K,2025-05-08,2025-05-08,2025-05-08,0000950170-25-066946,https://www.sec.gov/Archives/edgar/data/1426800/000095017025066946/asmb-20250508.htm,https://www.sec.gov/Archives/edgar/data/1426800/000095017025066946/asmb-20250508.htm,2025-05-08,2025-05-08 16:10:09,https://www.sec.gov/Archives/edgar/data/1426800/0000950170-25-066946-index.html,Item 2.02; Item 9.01,Item 2.02; Item 9.01,True,True,asmb-ex99_1.htm,,True,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1426800/000095017025066946/asmb-20250508.htm,,True,Tier-1,Financing,,True,warrant,
0001426800,"ASSEMBLY BIOSCIENCES, INC.",ASMB,8-K,2025-02-20,2025-02-20,2025-02-20,0000950170-25-024134,https://www.sec.gov/Archives/edgar/data/1426800/000095017025024134/asmb-20250220.htm,https://www.sec.gov/Archives/edgar/data/1426800/000095017025024134/asmb-20250220.htm,2025-02-20,2025-02-20 16:05:09,https://www.sec.gov/Archives/edgar/data/1426800/0000950170-25-024134-index.html,Item 8.01; Item 9.01,Item 8.01; Item 9.01,True,True,asmb-ex99_1.htm,,True,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1426800/000095017025024134/asmb-20250220.htm,,True,Tier-1,Financing,,True,warrant,
0001426800,"ASSEMBLY BIOSCIENCES, INC.",ASMB,8-K,2025-03-20,2025-03-20,2025-03-20,0000950170-25-042660,https://www.sec.gov/Archives/edgar/data/1426800/000095017025042660/asmb-20250320.htm,https://www.sec.gov/Archives/edgar/data/1426800/000095017025042660/asmb-20250320.htm,2025-03-20,2025-03-20 16:10:11,https://www.sec.gov/Archives/edgar/data/1426800/0000950170-25-042660-index.html,Item 2.02; Item 9.01,Item 2.02; Item 9.01,True,True,asmb-ex99_1.htm,,True,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/1426800/000095017025042660/asmb-20250320.htm,,True,Tier-1,Financing,,True,warrant,
0002042292,BTC Development Corp.,BDCI,8-K,2025-10-07,2025-10-01,2025-10-01,0001213900-25-097023,https://www.sec.gov/Archives/edgar/data/2042292/000121390025097023/ea0260340-8k_btcdevelop.htm,https://www.sec.gov/Archives/edgar/data/2042292/000121390025097023/ea0260340-8k_btcdevelop.htm,2025-10-01,2025-10-07 16:01:43,https://www.sec.gov/Archives/edgar/data/2042292/0001213900-25-097023-index.html,Item 8.01; Item 9.01,Item 8.01; Item 9.01,True,True,ea026034001ex99-1_btcdevelop.htm,,True,ATM,Tier-1,https://www.sec.gov/Archives/edgar/data/2042292/000121390025097023/ea0260340-8k_btcdevelop.htm,,True,Tier-1,Financing,,True,underwriting_agreement;convertible;warrant;offering,
